
 a1 =  10.171856963   0.000000000   0.000000000
 a2 =   0.000000000  10.171856963   0.000000000
 a3 =   0.000000000   0.000000000  10.171856963

 b1 =   0.617702877   0.000000000   0.000000000
 b2 =   0.000000000   0.617702877   0.000000000
 b3 =   0.000000000   0.000000000   0.617702877

 volume = 1052.448209136

 cutoff = 10.000000000

 grid = ( 11 11 11 ) -- minimal
        ( 11 11 11 ) -- factors 2, 3, 5, 7, 1*11, 1*13
        ( 12 12 12 ) -- factors 2, 3, 5

 ng = 587

     n   g1    g2    g3     gx        gy        gz        ekin
   279     0    -4     1     0.000    -2.471     0.618     6.486466346
   280     0    -1    -4     0.000    -0.618    -2.471     6.486466346
   281     0    -1     4     0.000    -0.618     2.471     6.486466346
   282     0     1    -4     0.000     0.618    -2.471     6.486466346
   283     0     1     4     0.000     0.618     2.471     6.486466346
   284     0     4    -1     0.000     2.471    -0.618     6.486466346
   285     0     4     1     0.000     2.471     0.618     6.486466346
   286     1    -4     0     0.618    -2.471     0.000     6.486466346
   287     1     0    -4     0.618     0.000    -2.471     6.486466346
   288     1     0     4     0.618     0.000     2.471     6.486466346
   289     1     4     0     0.618     2.471     0.000     6.486466346
   290     2    -3    -2     1.235    -1.853    -1.235     6.486466346
   291     2    -3     2     1.235    -1.853     1.235     6.486466346
   292     2    -2    -3     1.235    -1.235    -1.853     6.486466346
   293     2    -2     3     1.235    -1.235     1.853     6.486466346
   294     2     2    -3     1.235     1.235    -1.853     6.486466346
   295     2     2     3     1.235     1.235     1.853     6.486466346
   296     2     3    -2     1.235     1.853    -1.235     6.486466346
   297     2     3     2     1.235     1.853     1.235     6.486466346
   298     3    -2    -2     1.853    -1.235    -1.235     6.486466346
   299     3    -2     2     1.853    -1.235     1.235     6.486466346
   300     3     2    -2     1.853     1.235    -1.235     6.486466346
   301     3     2     2     1.853     1.235     1.235     6.486466346
   302     4    -1     0     2.471    -0.618     0.000     6.486466346
   303     4     0    -1     2.471     0.000    -0.618     6.486466346
   304     4     0     1     2.471     0.000     0.618     6.486466346
   305     4     1     0     2.471     0.618     0.000     6.486466346
   306    -4    -1    -1    -2.471    -0.618    -0.618     6.868023189
   307    -4    -1     1    -2.471    -0.618     0.618     6.868023189
   308    -4     1    -1    -2.471     0.618    -0.618     6.868023189
   309    -4     1     1    -2.471     0.618     0.618     6.868023189
   310    -3    -3     0    -1.853    -1.853     0.000     6.868023189
   311    -3     0    -3    -1.853     0.000    -1.853     6.868023189
   312    -3     0     3    -1.853     0.000     1.853     6.868023189
   313    -3     3     0    -1.853     1.853     0.000     6.868023189
   314    -1    -4    -1    -0.618    -2.471    -0.618     6.868023189
   315    -1    -4     1    -0.618    -2.471     0.618     6.868023189
   316    -1    -1    -4    -0.618    -0.618    -2.471     6.868023189
   317    -1    -1     4    -0.618    -0.618     2.471     6.868023189
   318    -1     1    -4    -0.618     0.618    -2.471     6.868023189
   319    -1     1     4    -0.618     0.618     2.471     6.868023189
   320    -1     4    -1    -0.618     2.471    -0.618     6.868023189
   321    -1     4     1    -0.618     2.471     0.618     6.868023189
   322     0    -3    -3     0.000    -1.853    -1.853     6.868023189
   323     0    -3     3     0.000    -1.853     1.853     6.868023189
   324     0     3    -3     0.000     1.853    -1.853     6.868023189
   325     0     3     3     0.000     1.853     1.853     6.868023189
   326     1    -4    -1     0.618    -2.471    -0.618     6.868023189
   327     1    -4     1     0.618    -2.471     0.618     6.868023189
   328     1    -1    -4     0.618    -0.618    -2.471     6.868023189
   329     1    -1     4     0.618    -0.618     2.471     6.868023189
   330     1     1    -4     0.618     0.618    -2.471     6.868023189
   331     1     1     4     0.618     0.618     2.471     6.868023189
   332     1     4    -1     0.618     2.471    -0.618     6.868023189
   333     1     4     1     0.618     2.471     0.618     6.868023189
   334     3    -3     0     1.853    -1.853     0.000     6.868023189
   335     3     0    -3     1.853     0.000    -1.853     6.868023189
   336     3     0     3     1.853     0.000     1.853     6.868023189
   337     3     3     0     1.853     1.853     0.000     6.868023189
   338     4    -1    -1     2.471    -0.618    -0.618     6.868023189
   339     4    -1     1     2.471    -0.618     0.618     6.868023189
   340     4     1    -1     2.471     0.618    -0.618     6.868023189
   341     4     1     1     2.471     0.618     0.618     6.868023189
   342    -3    -3    -1    -1.853    -1.853    -0.618     7.249580033
   343    -3    -3     1    -1.853    -1.853     0.618     7.249580033
   344    -3    -1    -3    -1.853    -0.618    -1.853     7.249580033
   345    -3    -1     3    -1.853    -0.618     1.853     7.249580033
   346    -3     1    -3    -1.853     0.618    -1.853     7.249580033
   347    -3     1     3    -1.853     0.618     1.853     7.249580033
   348    -3     3    -1    -1.853     1.853    -0.618     7.249580033
   349    -3     3     1    -1.853     1.853     0.618     7.249580033
   350    -1    -3    -3    -0.618    -1.853    -1.853     7.249580033
   351    -1    -3     3    -0.618    -1.853     1.853     7.249580033
   352    -1     3    -3    -0.618     1.853    -1.853     7.249580033
   353    -1     3     3    -0.618     1.853     1.853     7.249580033
   354     1    -3    -3     0.618    -1.853    -1.853     7.249580033
   355     1    -3     3     0.618    -1.853     1.853     7.249580033
   356     1     3    -3     0.618     1.853    -1.853     7.249580033
   357     1     3     3     0.618     1.853     1.853     7.249580033
   358     3    -3    -1     1.853    -1.853    -0.618     7.249580033
   359     3    -3     1     1.853    -1.853     0.618     7.249580033
   360     3    -1    -3     1.853    -0.618    -1.853     7.249580033
   361     3    -1     3     1.853    -0.618     1.853     7.249580033
   362     3     1    -3     1.853     0.618    -1.853     7.249580033
   363     3     1     3     1.853     0.618     1.853     7.249580033
   364     3     3    -1     1.853     1.853    -0.618     7.249580033
   365     3     3     1     1.853     1.853     0.618     7.249580033
   366    -4    -2     0    -2.471    -1.235     0.000     7.631136877
   367    -4     0    -2    -2.471     0.000    -1.235     7.631136877
   368    -4     0     2    -2.471     0.000     1.235     7.631136877
   369    -4     2     0    -2.471     1.235     0.000     7.631136877
   370    -2    -4     0    -1.235    -2.471     0.000     7.631136877
   371    -2     0    -4    -1.235     0.000    -2.471     7.631136877
   372    -2     0     4    -1.235     0.000     2.471     7.631136877
   373    -2     4     0    -1.235     2.471     0.000     7.631136877
   374     0    -4    -2     0.000    -2.471    -1.235     7.631136877
   375     0    -4     2     0.000    -2.471     1.235     7.631136877
   376     0    -2    -4     0.000    -1.235    -2.471     7.631136877
   377     0    -2     4     0.000    -1.235     2.471     7.631136877
   378     0     2    -4     0.000     1.235    -2.471     7.631136877
   379     0     2     4     0.000     1.235     2.471     7.631136877
   380     0     4    -2     0.000     2.471    -1.235     7.631136877
   381     0     4     2     0.000     2.471     1.235     7.631136877
   382     2    -4     0     1.235    -2.471     0.000     7.631136877
   383     2     0    -4     1.235     0.000    -2.471     7.631136877
   384     2     0     4     1.235     0.000     2.471     7.631136877
   385     2     4     0     1.235     2.471     0.000     7.631136877
   386     4    -2     0     2.471    -1.235     0.000     7.631136877
   387     4     0    -2     2.471     0.000    -1.235     7.631136877
   388     4     0     2     2.471     0.000     1.235     7.631136877
   389     4     2     0     2.471     1.235     0.000     7.631136877
   390    -4    -2    -1    -2.471    -1.235    -0.618     8.012693721
   391    -4    -2     1    -2.471    -1.235     0.618     8.012693721
   392    -4    -1    -2    -2.471    -0.618    -1.235     8.012693721
   393    -4    -1     2    -2.471    -0.618     1.235     8.012693721
   394    -4     1    -2    -2.471     0.618    -1.235     8.012693721
   395    -4     1     2    -2.471     0.618     1.235     8.012693721
   396    -4     2    -1    -2.471     1.235    -0.618     8.012693721
   397    -4     2     1    -2.471     1.235     0.618     8.012693721
   398    -2    -4    -1    -1.235    -2.471    -0.618     8.012693721
   399    -2    -4     1    -1.235    -2.471     0.618     8.012693721
   400    -2    -1    -4    -1.235    -0.618    -2.471     8.012693721
   401    -2    -1     4    -1.235    -0.618     2.471     8.012693721
   402    -2     1    -4    -1.235     0.618    -2.471     8.012693721
   403    -2     1     4    -1.235     0.618     2.471     8.012693721
   404    -2     4    -1    -1.235     2.471    -0.618     8.012693721
   405    -2     4     1    -1.235     2.471     0.618     8.012693721
   406    -1    -4    -2    -0.618    -2.471    -1.235     8.012693721
   407    -1    -4     2    -0.618    -2.471     1.235     8.012693721
   408    -1    -2    -4    -0.618    -1.235    -2.471     8.012693721
   409    -1    -2     4    -0.618    -1.235     2.471     8.012693721
   410    -1     2    -4    -0.618     1.235    -2.471     8.012693721
   411    -1     2     4    -0.618     1.235     2.471     8.012693721
